X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_umap1,X_umap2
7.5584407,-1.0037307,0.8227277,-0.24268728,-0.79381824,0.912109,-0.6738423,0.06302379,1.8387624,-1.9863739,-2.5464902,0.16261287,0.99919444,-2.7839577,0.8681145,0.9574023,-1.5389367,0.51080257,0.46734512,0.9701015,-1.18244,-0.74108446,0.88090795,0.21201524,-0.58700365,-0.325826,-1.1225712,0.3861037,-0.45678064,-1.0929859,0.012103571,-1.597713,-0.9137075,1.4763801,0.1263106,1.0141312,1.0386348,0.061802883,0.63494396,0.70857716,-0.4211408,-0.6836027,-0.05253241,0.45226336,0.03312189,0.21385375,-0.057827458,-0.36241722,-0.719811,-0.7964312,16.619211,-2.0934346
-5.7229104,-2.4748602,8.154323,-0.32084078,0.32315096,-4.04166,-1.8840994,-0.3270857,0.15929234,1.7916617,-2.6108963,0.32456222,-0.78898007,0.98231214,0.96863097,-3.8935695,-0.60523343,-0.7024665,0.4997989,1.5573602,-1.4290962,0.09685576,-0.29271996,0.174004,-0.60605645,-1.1590441,-1.2960649,1.0249101,1.3122802,-2.3643675,3.0076141,-1.1701419,0.015012044,0.34306985,-0.1226828,0.95004296,0.03153389,0.44424492,0.3155304,-0.01251913,0.13566862,-0.5274287,-0.31340277,1.6314653,0.979137,-0.026413135,0.096400216,0.6671528,0.08996111,0.549094,-1.2752482,10.611672
-6.5382514,-2.464765,7.374323,-1.046829,0.03681609,-2.7529147,-1.6166114,-0.099744774,-0.867382,1.6174772,-1.5071379,1.2595217,-2.2495265,0.9735206,0.37371126,0.8538075,-1.6112676,-0.42289224,0.99017537,0.3093391,-2.459304,0.9971332,1.4693378,0.21208136,0.47092056,-0.9245615,-0.9040935,0.87119377,-0.09340857,-0.13163006,-0.6906086,1.5492728,-0.5693334,1.8797399,-2.6716874,1.6569498,1.090945,0.52929604,-0.61681634,-0.5494854,-1.9740429,-0.789382,-2.8040597,1.3440177,1.1116776,1.0005467,-1.4087207,0.757363,0.9921636,0.14126761,-1.645665,9.508564
-6.3851504,-2.1648357,7.3789525,0.3475992,1.087882,-0.42909324,-0.15546066,0.92347753,-1.042495,-1.0412629,0.32613847,0.2893198,-1.8358532,-1.7938851,2.2862287,-0.29173398,2.4367783,-2.6274061,-1.0295632,-1.2802579,1.3988838,0.68148017,1.4579158,0.12078844,-0.55631435,3.9133823,1.6359442,-2.1667585,-2.4537244,-0.31012642,-1.2448772,-1.327022,-1.1212586,0.9143805,0.50556636,2.7316658,1.2756137,0.16711508,0.3272638,0.91873026,0.9848503,-2.2251542,-0.65266746,-1.3665096,2.2521102,1.0355679,0.112929665,0.12522957,-0.9875239,0.009869481,1.7724144,7.1106977
-6.256868,-2.7853177,8.949396,-0.47834662,0.77562934,-1.8060036,-1.2673877,0.01636359,-0.5943417,1.5913419,-2.1775038,1.1314316,0.13754287,-0.5287394,0.32598332,-1.5292218,1.9379305,-1.4126661,-0.50828326,-0.42226958,1.8524878,0.3338251,-0.60601103,-2.3998175,0.34349364,-0.46219674,0.097692005,-0.61442304,0.5211836,1.6202734,-1.7060698,1.9465766,1.9168378,0.57336175,-0.67691296,-0.65133923,-0.34749493,-0.6430363,-0.73827505,-0.022846531,0.3796046,0.29841837,0.3419681,0.3268846,1.2393042,0.36494488,-0.13282983,0.7410669,0.09938799,0.18691276,0.45593768,9.11619
-5.978126,-2.4845743,6.9141445,0.49813822,0.67214346,-3.2991319,-2.892341,-0.7837616,-1.2801243,0.7841483,-2.1843228,0.13759688,-2.1932373,3.0352778,2.9974282,-1.3479577,-1.1933728,-0.7711921,1.8201475,-0.16922402,-0.23493096,1.7587373,1.3480101,-0.68638927,-0.79038554,1.2677801,-0.8132876,0.062417563,3.268874,-2.844088,0.9822925,-1.3776191,-1.9811561,-1.4797529,-1.6629115,0.77431923,0.7705504,-1.1974859,0.84879154,-1.0637646,-0.8658596,-0.029628295,0.08266338,-1.0023966,-0.85549307,-0.45002016,-1.1523813,-0.62622017,-0.026824681,-1.7623224,-1.1736785,11.162177
-6.5407133,-2.2282069,8.812566,-0.27308506,0.92185426,-2.5737774,-2.6264906,-0.069072194,-1.0498986,2.656457,-2.5475316,0.48175788,-0.070127465,1.158375,0.6053757,-0.4686575,-0.83422893,0.6633205,0.62018055,0.5478106,-1.8049604,2.222114,0.17723244,-1.8711119,-0.25159585,0.7544002,-1.1511099,1.7234032,1.4249481,-1.7563441,0.668033,-0.35779053,2.0745516,-1.3965354,-2.078047,0.62056834,-0.042574905,0.04981476,-0.33979392,0.41301852,0.20088531,-0.78844357,-1.0614787,0.9236131,0.5623279,-0.058375247,1.1191608,1.2733586,1.5508286,1.0776312,-1.1866841,10.055897
-5.784887,-2.5792987,8.718001,0.115784004,0.48849884,-2.3008711,-1.4617553,-0.4311791,-1.1520516,1.4900308,-1.9663956,0.49213126,0.5060026,-0.7878026,2.472391,-2.8839848,2.0197637,-2.4388108,-0.55094254,-1.1686324,1.6808013,0.6796238,0.9516351,-2.7652829,-0.017254347,0.058654994,-1.1030763,-1.8142871,-1.9766419,3.6316836,-0.42584836,1.0237206,0.3168842,1.2965225,-0.75029707,-1.1683657,-2.2772987,0.95162255,0.3820495,-0.17967775,-0.28322172,0.62783694,0.16051827,-0.5304912,0.3558495,0.18619184,0.0060659098,-0.13862066,-1.6786923,-0.9877052,1.2814422,8.93945
-6.610441,-1.3209165,7.347341,-0.4966813,0.2875577,-2.5383363,-2.8702068,-0.48437935,-0.37642738,2.3353508,-3.0209615,0.94305897,-0.004343606,-0.03904034,0.6722708,-2.7441733,0.28057054,-1.2033652,-0.05246646,1.441837,-0.9887789,1.3744329,-0.8386642,-1.5363041,0.10000168,-0.29768327,0.2622431,0.95392364,3.1517463,-1.6673378,1.147568,-0.64208686,1.0246863,-0.46939912,0.72400624,-0.8327562,0.7821049,-1.0199376,0.16917653,0.20709258,-0.29202282,-0.13150838,-0.57107997,0.3748383,0.21636644,0.85875106,1.5358707,-0.0985132,0.19956154,-0.050860003,-0.7204072,10.45867
-6.2730074,-2.5629752,7.170114,-0.31705824,-0.106115945,-0.31056067,-1.0482738,0.09075725,-0.32358667,-0.5083274,1.4826078,1.8094217,-0.9379896,-1.5806785,0.86994594,2.59858,0.6092586,2.4874747,0.05647393,0.63258755,0.9654188,-2.0060437,-2.1172612,4.6340094,-0.28440794,2.1204486,0.33218247,0.051857226,0.410168,0.66890526,-2.4866748,-0.28530577,-1.466857,-0.84184057,-0.40806204,-1.6250905,0.49763608,-1.0250636,-1.1288836,-0.76117563,0.3387621,0.5610366,-0.47601613,0.24102938,-0.66162896,-1.3287253,-0.46912447,0.17059694,0.07101707,-1.1980227,-1.2159591,6.8737555
