,n_genes,percent_mito,n_counts
Cux2_tdTpositive_cell_1,9436,0.027278505,21105942.0
Cux2_tdTpositive_cell_3,9410,0.020921458,21876866.0
Cux2_tdTpositive_cell_4,8179,0.023184562,9952064.0
Cux2_tdTpositive_cell_5,8659,0.028525522,8963164.0
Cux2_tdTpositive_cell_6,8929,0.030130304,7439973.0
Cux2_tdTpositive_cell_7,9418,0.032244902,11044275.0
Cux2_tdTpositive_cell_8,7698,0.03177388,9111698.0
Cux2_tdTpositive_cell_9,7851,0.020217126,5453474.0
Cux2_tdTpositive_cell_10,7326,0.022007516,6132655.0
Cux2_tdTpositive_cell_11,7768,0.022309383,5847311.0
Cux2_tdTpositive_cell_12,7294,0.01667721,4510921.0
Cux2_tdTpositive_cell_13,7344,0.022764867,5625540.0
Cux2_tdTpositive_cell_14,6940,0.01553976,5775600.0
Cux2_tdTpositive_cell_15,8210,0.021535622,6657905.0
Cux2_tdTpositive_cell_16,8554,0.022323089,4611470.0
Cux2_tdTpositive_cell_17,6157,0.0250338,7269995.0
Cux2_tdTpositive_cell_18,7055,0.027580306,5249042.0
Cux2_tdTpositive_cell_19,8741,0.023645673,5234268.5
Cux2_tdTpositive_cell_20,7149,0.020870605,6130115.0
Cux2_tdTpositive_cell_21,7647,0.020722717,5163151.0
Cux2_tdTpositive_cell_22,6757,0.024411911,3036548.8
Cux2_tdTpositive_cell_23,7767,0.020473965,4259424.5
Cux2_tdTpositive_cell_24,7576,0.018889876,4557784.0
Cux2_tdTpositive_cell_25,8637,0.029318206,6167470.0
Cux2_tdTpositive_cell_26,7810,0.029587965,6383820.5
Cux2_tdTpositive_cell_27,8647,0.025091402,5545035.0
Cux2_tdTpositive_cell_28,8521,0.030948555,6231711.0
Cux2_tdTpositive_cell_29,7472,0.021460641,4096296.5
Cux2_tdTpositive_cell_30,7985,0.02701724,5314594.0
Cux2_tdTpositive_cell_31,8405,0.024021538,4988751.0
Cux2_tdTpositive_cell_32,6985,0.021433186,4621029.0
Cux2_tdTpositive_cell_33,7530,0.02138364,3820211.5
Cux2_tdTpositive_cell_34,8889,0.017443307,6746030.0
Cux2_tdTpositive_cell_35,8076,0.024863977,7245780.5
Cux2_tdTpositive_cell_36,8354,0.023192272,6730854.0
Cux2_tdTpositive_cell_37,6983,0.020041436,6699053.0
Cux2_tdTpositive_cell_38,8795,0.016840538,9199454.0
Cux2_tdTpositive_cell_39,8619,0.021164121,5299681.0
Cux2_tdTpositive_cell_40,7355,0.019774731,5435014.5
Cux2_tdTpositive_cell_41,8195,0.01817547,8196734.0
Cux2_tdTpositive_cell_42,7480,0.01839021,3537740.5
Cux2_tdTpositive_cell_43,7691,0.021299904,4017363.2
Cux2_tdTpositive_cell_44,8486,0.0189472,11587468.0
Cux2_tdTpositive_cell_45,8971,0.02381535,6877309.0
Cux2_tdTpositive_cell_46,9032,0.024965348,14683856.0
Cux2_tdTpositive_cell_47,7613,0.017454773,13064886.0
Cux2_tdTpositive_cell_48,7627,0.03229955,4412440.5
Cux2_tdTpositive_cell_49,8649,0.017467823,7447312.0
Cux2_tdTpositive_cell_50,7827,0.018075638,4495203.0
Cux2_tdTpositive_cell_51,7138,0.023300098,3385759.5
Cux2_tdTpositive_cell_52,6732,0.014669039,3825344.2
Cux2_tdTpositive_cell_53,8367,0.022684954,4178532.0
Cux2_tdTpositive_cell_54,8010,0.025014725,3714309.8
Cux2_tdTpositive_cell_55,6224,0.0154266115,4061790.5
Cux2_tdTpositive_cell_56,6341,0.017233664,4310702.5
Cux2_tdTpositive_cell_57,8387,0.024082981,5760586.0
Cux2_tdTpositive_cell_58,7158,0.019063331,5365997.0
Cux2_tdTpositive_cell_59,8310,0.024791991,4965927.5
Cux2_tdTpositive_cell_60,8151,0.025644572,5109726.0
Cux2_tdTpositive_cell_61,7471,0.025885781,4266600.0
Cux2_tdTpositive_cell_62,9036,0.024425171,7028119.0
Cux2_tdTpositive_cell_63,8171,0.051254272,7044861.0
Cux2_tdTpositive_cell_64,6420,0.021688163,5929529.5
Cux2_tdTpositive_cell_65,8105,0.026217116,5067411.0
Cux2_tdTpositive_cell_66,8930,0.03685561,3533691.0
Cux2_tdTpositive_cell_67,6564,0.01859124,3881132.8
Cux2_tdTpositive_cell_68,7440,0.02742105,4760215.0
Cux2_tdTpositive_cell_69,7379,0.024601452,3832333.2
Cux2_tdTpositive_cell_70,8048,0.025556605,3608751.0
Cux2_tdTpositive_cell_71,7583,0.02201935,3373411.2
Cux2_tdTpositive_cell_72,7101,0.03258006,4657447.0
Cux2_tdTpositive_cell_73,5944,0.01557972,1770982.8
Cux2_tdTpositive_cell_74,4958,0.036228012,2636609.8
Cux2_tdTpositive_cell_75,7166,0.021418741,3351421.0
Cux2_tdTpositive_cell_76,6877,0.018197237,5188063.5
Cux2_tdTpositive_cell_77,7295,0.025497507,2000989.1
Cux2_tdTpositive_cell_78,7701,0.02298958,3127591.8
Cux2_tdTpositive_cell_79,7294,0.021066375,3159496.0
Cux2_tdTpositive_cell_80,6145,0.0126722,2874321.5
Cux2_tdTpositive_cell_81,7266,0.025442688,2977159.0
Cux2_tdTpositive_cell_82,7050,0.014226955,2170830.0
Cux2_tdTpositive_cell_83,7727,0.021363076,2832541.2
Cux2_tdTpositive_cell_84,6471,0.03741357,2648154.0
Cux2_tdTpositive_cell_85,6097,0.043826748,2306412.5
Cux2_tdTpositive_cell_86,6079,0.024365252,2906562.5
Cux2_tdTpositive_cell_87,6719,0.026567424,4356268.5
Cux2_tdTpositive_cell_88,6764,0.019813461,3969029.5
Cux2_tdTpositive_cell_89,6712,0.023478853,2706020.0
Cux2_tdTpositive_cell_90,7774,0.024640948,3527821.0
Cux2_tdTpositive_cell_91,7140,0.022921288,4419395.0
Cux2_tdTpositive_cell_92,8576,0.025411403,14262779.0
Cux2_tdTpositive_cell_93,5923,0.031884138,2345035.8
Cux2_tdTpositive_cell_94,5383,0.049043983,2424135.2
Cux2_tdTpositive_cell_95,7106,0.022696713,3431027.8
Cux2_tdTpositive_cell_96,7453,0.01944638,2819561.8
Cux2_tdTpositive_cell_97,7162,0.022516457,3566371.0
Cux2_tdTpositive_cell_98,7334,0.021404661,3792512.2
Cux2_tdTpositive_cell_99,7221,0.029513836,3142054.5
Cux2_tdTpositive_cell_100,8475,0.021720616,3362300.8
Cux2_tdTpositive_cell_101,7986,0.024940273,2837538.5
Cux2_tdTpositive_cell_102,7854,0.024961786,4065693.8
Cux2_tdTpositive_cell_103,8214,0.026633447,4012972.8
Cux2_tdTpositive_cell_104,7738,0.022323122,3700572.0
Cux2_tdTpositive_cell_105,7954,0.025415817,3316182.0
Cux2_tdTpositive_cell_106,7485,0.023727871,3187699.8
Cux2_tdTpositive_cell_107,8316,0.030921532,3013745.0
Cux2_tdTpositive_cell_108,7618,0.029941447,3475929.2
Cux2_tdTpositive_cell_109,7913,0.023701439,3009314.0
Cux2_tdTpositive_cell_110,7579,0.028298626,3566769.0
Cux2_tdTpositive_cell_111,8433,0.025491057,3527980.5
Cux2_tdTpositive_cell_112,8269,0.030671367,3989745.2
Cux2_tdTpositive_cell_113,8589,0.027968418,3568177.8
Cux2_tdTpositive_cell_114,8375,0.026417071,3827794.8
Cux2_tdTpositive_cell_122,8306,0.035117373,3753906.0
Cux2_tdTpositive_cell_123,7990,0.037250403,2603686.2
Cux2_tdTpositive_cell_124,7053,0.03662502,2208748.2
Cux2_tdTnegative_cell_1,6244,0.027703796,4437247.5
Cux2_tdTnegative_cell_2,4080,0.08227912,3333744.2
Cux2_tdTnegative_cell_3,4370,0.10356503,4150774.2
Cux2_tdTnegative_cell_4,2402,0.09522573,5052536.0
Cux2_tdTnegative_cell_5,4075,0.08237849,3601618.5
Cux2_tdTnegative_cell_7,4388,0.045304313,3830860.0
Cux2_tdTnegative_cell_8,7015,0.03223807,3783566.8
Cux2_tdTnegative_cell_9,8358,0.058344364,4175135.5
Cux2_tdTnegative_cell_10,5012,0.05345786,3769173.0
Cux2_tdTnegative_cell_11,4354,0.07639971,4761398.0
