,n_genes,percent_mito,n_counts
Pvalb_tdTpositive_cell_33,8217,0.06659693,2235611.2
Pvalb_tdTpositive_cell_34,8051,0.052556343,2997238.0
Pvalb_tdTpositive_cell_35,8554,0.06773753,3324056.5
Pvalb_tdTpositive_cell_36,7195,0.052503806,3146971.2
Pvalb_tdTpositive_cell_37,7946,0.059894264,2760536.2
Pvalb_tdTpositive_cell_38,7641,0.06389957,2695402.8
Pvalb_tdTpositive_cell_39,8320,0.05859429,2746507.5
Pvalb_tdTpositive_cell_40,8366,0.07321043,3107747.0
Pvalb_tdTpositive_cell_41,8201,0.0601221,2459743.8
Pvalb_tdTpositive_cell_42,8896,0.08549646,2940930.5
Pvalb_tdTpositive_cell_43,8354,0.06499005,3825378.8
Pvalb_tdTpositive_cell_44,7323,0.047991555,2917500.2
Pvalb_tdTpositive_cell_45,7046,0.06583775,2463026.2
Pvalb_tdTpositive_cell_46,7192,0.056035716,3221019.2
Pvalb_tdTpositive_cell_47,8118,0.07597346,3891865.5
Pvalb_tdTpositive_cell_48,6816,0.05291712,3560269.8
Pvalb_tdTpositive_cell_49,7930,0.06287146,6904250.0
Pvalb_tdTpositive_cell_50,8098,0.045759697,8001745.5
Pvalb_tdTpositive_cell_51,8148,0.061272096,6711056.0
Pvalb_tdTpositive_cell_52,8360,0.039468084,6344277.0
Pvalb_tdTpositive_cell_53,8386,0.051813494,5816298.0
Pvalb_tdTpositive_cell_54,7092,0.045696642,6380205.5
Pvalb_tdTpositive_cell_55,9035,0.06937508,7071111.0
Pvalb_tdTpositive_cell_56,8618,0.062046643,6479666.0
Pvalb_tdTpositive_cell_57,8353,0.057057977,8785346.0
Pvalb_tdTpositive_cell_58,8504,0.051440343,8152246.0
Pvalb_tdTpositive_cell_59,7711,0.047120415,6278941.0
Pvalb_tdTpositive_cell_60,8172,0.06716863,8069236.5
Pvalb_tdTpositive_cell_61,8624,0.052675523,8495446.0
Pvalb_tdTpositive_cell_62,8168,0.05335743,6201589.5
Pvalb_tdTpositive_cell_63,7635,0.046102792,8367543.0
Pvalb_tdTpositive_cell_64,9053,0.050680228,6954272.5
Pvalb_tdTpositive_cell_65,7873,0.0645055,4638934.5
Pvalb_tdTpositive_cell_66,8215,0.05364375,5345330.0
Pvalb_tdTpositive_cell_67,8103,0.0826702,3791364.8
Pvalb_tdTpositive_cell_68,7114,0.047241647,5623991.0
Pvalb_tdTpositive_cell_69,8135,0.06603111,5007471.5
Pvalb_tdTpositive_cell_70,8761,0.061235584,4457218.0
Pvalb_tdTpositive_cell_71,8380,0.064358115,3544521.0
Pvalb_tdTpositive_cell_72,8232,0.06474591,3172474.8
Pvalb_tdTpositive_cell_73,8002,0.0471983,3569109.0
Pvalb_tdTpositive_cell_74,8174,0.05729438,5231295.0
Pvalb_tdTpositive_cell_75,9011,0.062873185,6184476.5
Pvalb_tdTpositive_cell_76,7853,0.045345835,7381750.0
Pvalb_tdTpositive_cell_77,8125,0.041296963,7609064.0
Pvalb_tdTpositive_cell_78,9046,0.05887482,7853722.0
Pvalb_tdTpositive_cell_79,9088,0.056541335,7442829.0
Pvalb_tdTpositive_cell_80,8321,0.046446506,6525697.0
Pvalb_tdTpositive_cell_81,5355,0.068807065,5128786.5
Pvalb_tdTpositive_cell_82,7705,0.076609984,6081820.0
Pvalb_tdTpositive_cell_83,8416,0.047093485,5454726.0
Pvalb_tdTpositive_cell_84,8124,0.046013966,5850092.0
Pvalb_tdTpositive_cell_85,8434,0.05809923,6168649.0
Pvalb_tdTpositive_cell_86,7031,0.121763006,5160368.0
Pvalb_tdTpositive_cell_87,8605,0.05324101,5161257.0
Pvalb_tdTpositive_cell_88,7977,0.048977453,5104033.0
Pvalb_tdTpositive_cell_89,8842,0.06635993,6136997.5
PvalbD-Slc32a1_tdTpositive_cell_1,8979,0.038543534,12217900.0
PvalbD-Slc32a1_tdTpositive_cell_2,9741,0.059642345,12075213.0
PvalbD-Slc32a1_tdTpositive_cell_3,8750,0.0415291,13743992.0
PvalbD-Slc32a1_tdTpositive_cell_4,9192,0.043992523,14285754.0
PvalbD-Slc32a1_tdTpositive_cell_5,9557,0.040404733,13274834.0
PvalbD-Slc32a1_tdTpositive_cell_6,7991,0.05250152,8482482.0
PvalbD-Slc32a1_tdTpositive_cell_7,7906,0.034807514,11086142.0
PvalbD-Slc32a1_tdTpositive_cell_8,9750,0.04312821,12930297.0
PvalbD-Slc32a1_tdTpositive_cell_9,7798,0.07214941,6237297.5
PvalbD-Slc32a1_tdTpositive_cell_10,7333,0.060900357,5113170.0
PvalbD-Slc32a1_tdTpositive_cell_11,7553,0.07080377,4997388.5
PvalbD-Slc32a1_tdTpositive_cell_12,7674,0.047987517,5365366.0
PvalbD-Slc32a1_tdTpositive_cell_13,8351,0.03895722,7964222.0
PvalbD-Slc32a1_tdTpositive_cell_14,6928,0.046988923,5255731.5
PvalbD-Slc32a1_tdTpositive_cell_15,6361,0.032368574,5328208.0
PvalbD-Slc32a1_tdTpositive_cell_16,6778,0.03735471,4745536.0
PvalbD-Slc32a1_tdTpositive_cell_17,8646,0.07157067,3826234.2
PvalbD-Slc32a1_tdTpositive_cell_18,9475,0.08608963,2496795.0
PvalbD-Slc32a1_tdTpositive_cell_19,7334,0.058074374,5524874.0
PvalbD-Slc32a1_tdTpositive_cell_20,8596,0.08651052,4668775.0
PvalbD-Slc32a1_tdTpositive_cell_21,8302,0.041535657,2957595.5
PvalbD-Slc32a1_tdTpositive_cell_22,7337,0.043492768,6269819.5
PvalbD-Slc32a1_tdTpositive_cell_23,9329,0.076888315,6313716.0
PvalbD-Slc32a1_tdTpositive_cell_24,7765,0.059024107,5402135.0
PvalbD-Slc32a1_tdTpositive_cell_25,8074,0.0538174,5243259.0
PvalbD-Slc32a1_tdTpositive_cell_26,8511,0.06998769,2466299.0
PvalbD-Slc32a1_tdTpositive_cell_27,6538,0.045467358,2536861.8
PvalbD-Slc32a1_tdTpositive_cell_28,8103,0.057474636,2455671.0
PvalbD-Slc32a1_tdTpositive_cell_29,6458,0.046814967,1646029.8
PvalbD-Slc32a1_tdTpositive_cell_30,8127,0.031698633,6940415.0
PvalbD-Slc32a1_tdTpositive_cell_31,7671,0.032474123,3833100.5
PvalbD-Slc32a1_tdTpositive_cell_32,9443,0.047469813,6340319.0
PvalbD-Slc32a1_tdTpositive_cell_33,8536,0.043371357,5567943.0
PvalbD-Slc32a1_tdTpositive_cell_34,8594,0.032734416,7258214.0
PvalbD-Slc32a1_tdTpositive_cell_35,8175,0.04169223,8078662.0
PvalbD-Slc32a1_tdTpositive_cell_36,9863,0.056906667,12688846.0
PvalbD-Slc32a1_tdTpositive_cell_37,8786,0.039905846,7616235.0
PvalbD-Slc32a1_tdTpositive_cell_38,7460,0.04781594,3578481.8
PvalbD-Slc32a1_tdTpositive_cell_39,9608,0.044759728,6726283.0
PvalbD-Slc32a1_tdTpositive_cell_40,8839,0.033454478,6194726.0
PvalbD-Slc32a1_tdTpositive_cell_41,7732,0.07948777,3660087.0
PvalbD-Slc32a1_tdTpositive_cell_42,7053,0.043008097,5490648.0
PvalbD-Slc32a1_tdTpositive_cell_43,8642,0.045437388,8806169.0
PvalbD-Slc32a1_tdTpositive_cell_44,8596,0.03320628,8650838.0
PvalbF-Gad2_tdTpositive_cell_1,8573,0.07041436,3393871.2
PvalbF-Gad2_tdTpositive_cell_2,7758,0.08213568,2950493.5
PvalbF-Gad2_tdTpositive_cell_3,6610,0.09403079,3531970.0
PvalbF-Gad2_tdTpositive_cell_4,8044,0.14424422,3360759.0
PvalbF-Gad2_tdTpositive_cell_5,8908,0.060653627,4438687.5
PvalbF-Gad2_tdTpositive_cell_6,8889,0.05734361,3355566.5
PvalbF-Gad2_tdTpositive_cell_7,8156,0.05039482,3604714.5
PvalbF-Gad2_tdTpositive_cell_8,9491,0.057384394,5052847.0
PvalbF-Gad2_tdTpositive_cell_9,7929,0.085027225,3695162.0
PvalbF-Gad2_tdTpositive_cell_10,8988,0.08246029,3396625.0
PvalbF-Gad2_tdTpositive_cell_11,7321,0.117445186,3485745.5
PvalbF-Gad2_tdTpositive_cell_12,8702,0.062212233,3130438.0
PvalbF-Gad2_tdTpositive_cell_13,9526,0.05321838,3977222.0
PvalbF-Gad2_tdTpositive_cell_14,9091,0.064644426,3697240.0
PvalbF-Gad2_tdTpositive_cell_15,8769,0.066729136,4318202.0
PvalbF-Gad2_tdTpositive_cell_16,8831,0.05481508,4444138.5
PvalbF-Gad2_tdTpositive_cell_17,7863,0.08591292,3924348.2
PvalbF-Gad2_tdTpositive_cell_18,9388,0.08251187,2934097.0
PvalbF-Gad2_tdTpositive_cell_19,8995,0.06774023,5393670.5
PvalbF-Gad2_tdTpositive_cell_20,8525,0.07580953,3433798.5
PvalbF-Gad2_tdTpositive_cell_21,8337,0.07917434,4301171.0
PvalbF-Gad2_tdTpositive_cell_22,9133,0.06018961,4710468.5
PvalbF-Gad2_tdTpositive_cell_23,8217,0.07175955,4009121.8
PvalbF-Gad2_tdTpositive_cell_24,7792,0.1050174,4907392.5
PvalbF-Gad2_tdTpositive_cell_25,7949,0.12413267,3233448.5
PvalbF-Gad2_tdTpositive_cell_26,7779,0.07338466,3376532.0
PvalbF-Gad2_tdTpositive_cell_27,8216,0.09097461,3328932.8
PvalbF-Gad2_tdTpositive_cell_28,8172,0.11505985,5017039.0
PvalbF-Gad2_tdTpositive_cell_30,8706,0.098605484,3355537.0
PvalbF-Gad2_tdTpositive_cell_32,8203,0.104944244,4173318.0
PvalbF-Gad2_tdTpositive_cell_34,8748,0.07929687,3589280.0
PvalbF-Gad2_tdTpositive_cell_37,7634,0.09440579,4105876.5
PvalbF-Gad2_tdTpositive_cell_38,7811,0.09795381,2855661.0
PvalbF-Gad2_tdTpositive_cell_39,8145,0.07048501,3751174.5
PvalbF-Gad2_tdTpositive_cell_40,8707,0.06487858,3510845.8
PvalbF-Gad2_tdTpositive_cell_41,8337,0.049702756,4151183.5
PvalbF-Gad2_tdTpositive_cell_42,8442,0.07754179,3909406.2
PvalbF-Gad2_tdTpositive_cell_43,9515,0.07424524,3637853.0
PvalbF-Gad2_tdTpositive_cell_44,8347,0.07655741,3515583.5
PvalbF-Gad2_tdTpositive_cell_45,9149,0.06497248,7899102.5
PvalbF-Gad2_tdTpositive_cell_46,9003,0.05472536,4395094.5
PvalbF-Gad2_tdTpositive_cell_47,8912,0.058066662,4921820.5
PvalbF-Gad2_tdTpositive_cell_48,9166,0.04685155,4775377.0
PvalbF-Gad2_tdTpositive_cell_49,8229,0.053535342,4737006.0
PvalbF-Gad2_tdTpositive_cell_50,7504,0.041500594,3670417.2
PvalbF-Gad2_tdTpositive_cell_51,7926,0.04737401,4456782.0
PvalbF-Gad2_tdTpositive_cell_52,8658,0.06289032,3603433.5
PvalbF-Gad2_tdTpositive_cell_53,8671,0.067286104,4342901.5
PvalbF-Gad2_tdTpositive_cell_54,8785,0.047770966,4167241.8
PvalbF-Gad2_tdTpositive_cell_55,8696,0.056634255,4076963.8
PvalbF-Gad2_tdTpositive_cell_56,8617,0.061139565,5007033.0
PvalbF-Gad2_tdTpositive_cell_57,8483,0.06161271,4797900.0
PvalbF-Gad2_tdTpositive_cell_58,8465,0.05935142,5205396.5
PvalbF-Gad2_tdTpositive_cell_59,7803,0.065443285,5617793.0
PvalbF-Gad2_tdTpositive_cell_60,8911,0.06039545,6134701.0
PvalbF-Gad2_tdTpositive_cell_61,8679,0.06878432,6551936.0
PvalbF-Gad2_tdTpositive_cell_62,8477,0.059426248,5065308.0
PvalbF-Gad2_tdTpositive_cell_63,9123,0.06990419,7450628.5
PvalbF-Gad2_tdTpositive_cell_64,8239,0.051352713,5279740.0
PvalbF-Gad2_tdTpositive_cell_65,8553,0.062497023,5027178.5
PvalbF-Gad2_tdTpositive_cell_66,9004,0.064593844,4881527.0
PvalbF-Gad2_tdTpositive_cell_67,8243,0.05466709,5028782.0
PvalbF-Gad2_tdTpositive_cell_68,8697,0.059691623,4898949.5
PvalbF-Gad2_tdTpositive_cell_69,8873,0.054980874,5354843.5
PvalbF-Gad2_tdTpositive_cell_70,8789,0.056958854,4983569.0
PvalbF-Gad2_tdTpositive_cell_71,8510,0.057520397,4874913.0
PvalbF-Gad2_tdTpositive_cell_72,8205,0.061851054,5429927.0
PvalbF-Gad2_tdTpositive_cell_73,8588,0.059876498,4888792.5
PvalbF-Gad2_tdTpositive_cell_74,7467,0.05540619,4450661.0
PvalbF-Gad2_tdTpositive_cell_75,7910,0.052975792,5551724.5
PvalbF-Gad2_tdTpositive_cell_76,8984,0.05481927,4826683.0
PvalbF-Gad2_tdTpositive_cell_77,8667,0.06257816,5102732.0
PvalbF-Gad2_tdTpositive_cell_78,9349,0.06495064,6495744.5
PvalbF-Gad2_tdTpositive_cell_79,7853,0.05663154,4529063.0
PvalbF-Gad2_tdTpositive_cell_80,9552,0.07799092,10329320.0
PvalbF-Gad2_tdTpositive_cell_81,9375,0.0628121,5370724.0
PvalbF-Gad2_tdTpositive_cell_82,8240,0.058995817,6170720.5
PvalbF-Gad2_tdTpositive_cell_83,9122,0.062815644,5427111.0
PvalbF-Gad2_tdTpositive_cell_84,8278,0.038789913,4950168.0
PvalbF-Gad2_tdTpositive_cell_85,8087,0.05030925,4932941.5
PvalbF-Gad2_tdTpositive_cell_86,8605,0.048742242,6257624.0
PvalbF-Gad2_tdTpositive_cell_87,8336,0.03816967,5944782.0
PvalbF-Gad2_tdTpositive_cell_93,8206,0.07342574,2448956.5
PvalbF-Gad2_tdTpositive_cell_94,9579,0.097122766,7768647.0
Rbp4_tdTpositive_cell_1,9314,0.025884459,9936336.0
Rbp4_tdTpositive_cell_2,9044,0.03463836,12332615.0
Rbp4_tdTpositive_cell_3,7400,0.031906456,3063711.5
Rbp4_tdTpositive_cell_4,7786,0.025134614,3259411.0
Rbp4_tdTpositive_cell_5,7609,0.029619714,3660618.2
Rbp4_tdTpositive_cell_6,8408,0.03788841,5920565.5
Rbp4_tdTpositive_cell_7,9088,0.046650883,7106304.0
Rbp4_tdTpositive_cell_8,9922,0.05425756,9363676.0
Rbp4_tdTpositive_cell_9,8209,0.039953668,5744530.0
Rbp4_tdTpositive_cell_10,9184,0.039908946,5538083.5
Rbp4_tdTpositive_cell_11,8987,0.030973012,4492250.0
Rbp4_tdTpositive_cell_12,8706,0.036286764,4969225.0
Rbp4_tdTpositive_cell_13,8313,0.032681167,5085291.0
Rbp4_tdTpositive_cell_14,7912,0.028329814,4741436.0
Rbp4_tdTpositive_cell_15,8618,0.040519875,5211713.5
Rbp4_tdTpositive_cell_16,7427,0.032677542,4959024.0
Rbp4_tdTpositive_cell_18,8391,0.03709645,6673977.0
Rbp4_tdTpositive_cell_19,9102,0.048119742,5895227.0
Rbp4_tdTpositive_cell_20,8549,0.042259865,6468979.0
Rbp4_tdTpositive_cell_21,9104,0.04277145,6024695.0
Rbp4_tdTpositive_cell_22,8498,0.046850868,5434813.0
Rbp4_tdTpositive_cell_23,9231,0.05161123,6432252.0
Rbp4_tdTpositive_cell_24,8182,0.035634637,5848817.0
Rbp4_tdTpositive_cell_25,8193,0.046378363,7129963.0
Rbp4_tdTpositive_cell_26,8727,0.033609148,7360279.0
Rbp4_tdTpositive_cell_27,9123,0.043444514,7856518.5
Rbp4_tdTpositive_cell_28,8780,0.033036824,5835881.0
Rbp4_tdTpositive_cell_29,8261,0.035956692,5805827.0
Rbp4_tdTpositive_cell_30,8456,0.048900478,5084932.0
Rbp4_tdTpositive_cell_31,8284,0.04245176,5183283.0
Rbp4_tdTpositive_cell_32,9104,0.039948627,7183044.0
Rbp4_tdTpositive_cell_33,9259,0.051305614,6399432.0
Rbp4_tdTpositive_cell_34,8828,0.03898236,8522653.0
Rbp4_tdTpositive_cell_35,8440,0.037519585,5190871.5
Rbp4_tdTpositive_cell_36,8221,0.049971472,4878203.5
Rbp4_tdTpositive_cell_37,9155,0.034227803,6567533.0
Rbp4_tdTpositive_cell_38,9311,0.039442267,5126904.0
Rbp4_tdTpositive_cell_39,9301,0.042638294,5293081.0
Rbp4_tdTpositive_cell_40,8202,0.029745635,5152525.0
Rbp4_tdTpositive_cell_41,7831,0.036237296,4329112.0
Rbp4_tdTpositive_cell_42,8545,0.06818513,5688888.5
Rbp4_tdTpositive_cell_43,9463,0.04210263,6240931.0
Rbp4_tdTpositive_cell_44,8226,0.058210872,5698120.0
Rbp4_tdTpositive_cell_45,9902,0.048968773,6186736.5
Rbp4_tdTpositive_cell_46,8111,0.03923949,6201797.0
Rbp4_tdTpositive_cell_47,8247,0.030268485,4325988.5
Rbp4_tdTpositive_cell_48,8846,0.03261048,6348370.0
Rbp4_tdTpositive_cell_49,8392,0.038912363,5665218.0
Rbp4_tdTpositive_cell_50,8193,0.03378274,4157952.5
Rbp4_tdTpositive_cell_51,9296,0.063565955,9482730.0
Rbp4_tdTpositive_cell_52,8963,0.04106047,4849035.0
Rbp4_tdTpositive_cell_53,7253,0.06445792,6253677.0
Rbp4_tdTpositive_cell_54,8482,0.029934548,5378614.0
Rbp4_tdTpositive_cell_55,8420,0.042637695,5822142.0
Rbp4_tdTpositive_cell_56,8462,0.03290874,5639563.0
Rbp4_tdTpositive_cell_57,9498,0.032930877,4784661.5
Rbp4_tdTpositive_cell_58,8889,0.030994033,5341439.5
Rbp4_tdTpositive_cell_60,8555,0.03040481,7109584.0
Rbp4_tdTpositive_cell_61,7020,0.04465028,8107794.0
Rbp4_tdTpositive_cell_62,7959,0.023703147,3285754.8
Rbp4_tdTpositive_cell_63,8571,0.022852436,5313019.0
Rbp4_tdTpositive_cell_64,9772,0.053664546,4123453.0
Rbp4_tdTpositive_cell_65,8519,0.02297296,14323194.0
Rbp4_tdTpositive_cell_66,7913,0.028807571,3796649.0
Rbp4_tdTpositive_cell_67,9062,0.029475136,8485891.0
Rbp4_tdTpositive_cell_68,9105,0.031372666,9055876.0
Rbp4_tdTpositive_cell_69,7948,0.017388755,4950313.0
Rbp4_tdTpositive_cell_70,9520,0.03222967,5817549.0
Rbp4_tdTpositive_cell_71,9325,0.024820015,16588080.0
Rbp4_tdTpositive_cell_72,9808,0.03914239,10565245.0
Rbp4_tdTpositive_cell_73,9056,0.027789615,7157403.0
Rbp4_tdTpositive_cell_74,9189,0.04011319,3841967.2
Rbp4_tdTpositive_cell_75,8794,0.032006375,3172371.5
Rbp4_tdTpositive_cell_76,8415,0.02175353,4569424.0
Rbp4_tdTpositive_cell_77,8218,0.03047009,5220254.0
Rbp4_tdTpositive_cell_78,8841,0.022483468,5364600.5
Rbp4_tdTpositive_cell_79,7701,0.022642149,666860.7
Rbp4_tdTpositive_cell_80,8559,0.024631897,3586190.5
Rbp4_tdTpositive_cell_81,9085,0.033934034,3403664.0
Rbp4_tdTpositive_cell_82,8615,0.019825906,3726041.5
Rbp4_tdTpositive_cell_83,8404,0.026330203,4188073.0
Rbp4_tdTpositive_cell_84,9582,0.035407294,4586165.0
Rbp4_tdTpositive_cell_85,6933,0.017065506,929392.6
Rbp4_tdTpositive_cell_86,7476,0.024623463,3184544.5
Rbp4_tdTpositive_cell_87,8427,0.03511735,2988485.8
Rbp4_tdTpositive_cell_88,7294,0.024642976,2728371.5
Rbp4_tdTpositive_cell_89,4508,0.048205614,5295598.5
Rbp4_tdTpositive_cell_90,8761,0.02744755,4938851.0
Rbp4_tdTpositive_cell_91,9145,0.036079887,5541581.0
Rbp4_tdTpositive_cell_92,8800,0.023753395,6145049.0
Rbp4_tdTpositive_cell_93,8464,0.038930263,3165960.2
Rbp4_tdTpositive_cell_94,7834,0.025449574,4420793.0
Rbp4_tdTpositive_cell_95,9316,0.040268485,5243854.0
Rbp4_tdTpositive_cell_96,8771,0.019860024,6856410.0
Rbp4_tdTpositive_cell_97,7289,0.024568524,6736283.5
Rbp4_tdTpositive_cell_98,7585,0.021127336,4915466.0
Rbp4_tdTpositive_cell_99,6223,0.027757881,5924814.5
Rbp4_tdTpositive_cell_100,8984,0.027127758,4834319.0
Rbp4_tdTpositive_cell_101,9059,0.035867978,6426421.0
Rbp4_tdTpositive_cell_102,8292,0.043425787,5070172.0
Rbp4_tdTpositive_cell_103,8630,0.02552708,6151293.0
Rbp4_tdTpositive_cell_104,7838,0.018012132,5438076.0
Rbp4_tdTpositive_cell_105,7554,0.02703877,5458191.5
Rbp4_tdTpositive_cell_106,7798,0.039268218,5176818.0
Rbp4_tdTpositive_cell_107,8462,0.02293886,5542364.0
Rbp4_tdTpositive_cell_108,7850,0.027209066,6247054.0
Rbp4_tdTpositive_cell_109,8667,0.036044918,5534327.5
Rbp4_tdTpositive_cell_110,8934,0.041534103,7676993.5
Rbp4_tdTpositive_cell_111,7958,0.02791196,3964620.5
Rbp4_tdTpositive_cell_112,7392,0.022246903,4055252.0
Rbp4_tdTpositive_cell_113,7843,0.032986112,3761409.2
Rbp4_tdTpositive_cell_114,9067,0.03683757,4742836.0
Rbp4_tdTpositive_cell_115,7087,0.022261845,3661771.5
Rbp4_tdTpositive_cell_116,7415,0.025796708,3876921.0
Rbp4_tdTpositive_cell_117,8657,0.03890673,4598510.0
Rbp4_tdTpositive_cell_118,8219,0.034487244,2892030.0
Rbp4_tdTpositive_cell_119,8245,0.033708088,3268070.5
Rbp4_tdTpositive_cell_120,7864,0.037336845,3885213.8
Rbp4_tdTpositive_cell_121,6274,0.017177781,2835703.2
Rbp4_tdTpositive_cell_122,8276,0.026339062,3048612.8
Rbp4_tdTpositive_cell_123,6837,0.018832358,5757057.0
Rbp4_tdTpositive_cell_124,7855,0.028413307,3148090.5
Rbp4_tdTpositive_cell_126,8432,0.044372972,5784895.0
Rbp4_tdTpositive_cell_127,9396,0.039249957,7526638.0
Rbp4_tdTpositive_cell_129,8733,0.035958048,5574161.5
Rbp4_tdTpositive_cell_130,9202,0.05424364,5243496.0
Rbp4_tdTpositive_cell_131,9102,0.04310478,4853724.0
Rbp4_tdTpositive_cell_132,9411,0.036094137,5287899.0
Rbp4_tdTpositive_cell_133,8931,0.040874265,4631078.0
Rbp4_tdTpositive_cell_134,9298,0.05033635,4162311.8
Rbp4_tdTpositive_cell_135,8581,0.02113415,5404122.0
Rbp4_tdTpositive_cell_136,9171,0.03065931,8038881.0
Rbp4_tdTpositive_cell_137,8592,0.02110718,8892786.0
Rbp4_tdTpositive_cell_138,9892,0.03870014,8913285.0
Rbp4_tdTpositive_cell_139,9724,0.032326702,7389358.0
Rbp4_tdTpositive_cell_140,9726,0.031744555,10260595.0
Rbp4_tdTpositive_cell_141,9108,0.025072312,8892912.0
Rbp4_tdTpositive_cell_142,8884,0.027959522,4056379.8
Rbp4_tdTpositive_cell_143,9131,0.022489551,4658257.0
Rbp4_tdTpositive_cell_144,8181,0.023073642,3977764.0
Rbp4_tdTpositive_cell_145,8686,0.054819815,3546939.5
Rbp4_tdTpositive_cell_146,9496,0.026983937,4408929.0
Rbp4_tdTpositive_cell_147,8794,0.025173707,6027976.0
Rbp4_tdTpositive_cell_148,9808,0.037527043,9025612.0
Rbp4_tdTpositive_cell_149,9499,0.037514202,10522139.0
Rbp4_tdTpositive_cell_150,7385,0.020628965,4464885.0
Rbp4_tdTpositive_cell_151,8976,0.0541536,7446133.0
Rbp4_tdTpositive_cell_152,9760,0.031424392,6218797.5
Rbp4_tdTpositive_cell_153,8422,0.02230659,6562591.5
Rbp4_tdTpositive_cell_154,8311,0.022294391,6349133.5
Rbp4_tdTpositive_cell_155,9028,0.031771164,6920710.0
Rbp4_tdTpositive_cell_156,8502,0.025683245,7928389.0
Rbp4_tdTpositive_cell_157,8206,0.020195907,6635993.5
Rbp4_tdTpositive_cell_158,8571,0.02970604,5657755.0
Rbp4_tdTpositive_cell_159,8111,0.025387695,4461376.5
Rbp4_tdTpositive_cell_160,7863,0.024376782,5000446.5
Rbp4_tdTpositive_cell_161,7458,0.02318262,5559190.0
Rbp4_tdTpositive_cell_162,8725,0.025625732,6964999.5
Rbp4_tdTpositive_cell_163,8197,0.02888252,6523781.5
Rbp4_tdTpositive_cell_164,9196,0.028846025,7097086.5
Rbp4_tdTpositive_cell_166,9136,0.024402037,5958713.0
Rbp4_tdTpositive_cell_167,8922,0.022836681,4926797.0
Rbp4_tdTpositive_cell_168,8676,0.021867424,4074585.5
Rbp4_tdTpositive_cell_169,9413,0.026065443,4525768.0
Rbp4_tdTpositive_cell_170,9406,0.025353292,5093104.5
Rbp4_tdTpositive_cell_171,9040,0.027261093,4851798.5
Rbp4_tdTpositive_cell_172,8885,0.030320918,6623279.5
Rbp4_tdTpositive_cell_173,8701,0.022953125,7560912.5
Rbp4_tdTpositive_cell_174,7965,0.12591872,2080602.5
Rbp4_tdTpositive_cell_175,7314,0.017229637,1396407.2
Rbp4_tdTpositive_cell_176,8595,0.06403664,2147446.0
Rbp4_tdTpositive_cell_177,8817,0.055542946,2576022.5
Rbp4_tdTpositive_cell_178,9435,0.041925587,3524898.2
Rbp4_tdTpositive_cell_179,7819,0.056815166,5816083.0
Rbp4_tdTpositive_cell_180,9394,0.06398946,3124687.5
Rbp4_tdTpositive_cell_184,9976,0.052656002,6871029.5
Rbp4_tdTpositive_cell_185,9167,0.058275703,4950528.0
Rbp4_tdTpositive_cell_187,9537,0.059459202,8406603.0
Rbp4_tdTpositive_cell_189,9369,0.048988853,5686797.0
Rbp4_tdTnegative_cell_1,6918,0.08254055,7630706.0
Rbp4_tdTnegative_cell_2,5366,0.04193486,2726488.5
Rbp4_tdTnegative_cell_3,6699,0.03761795,5790671.0
Rbp4_tdTnegative_cell_4,4014,0.06401065,4379937.0
Rbp4_tdTnegative_cell_5,7448,0.04189746,6828360.0
Rbp4_tdTnegative_cell_6,6994,0.010429049,3393931.0
Rbp4_tdTnegative_cell_7,7652,0.05911723,7869412.0
Rbp4_tdTnegative_cell_9,6162,0.009401155,3084111.8
Rbp4_tdTnegative_cell_10,3691,0.03489942,1466701.5
Rbp4_tdTnegative_cell_11,6680,0.017071417,6205234.0
Rbp4_tdTnegative_cell_12,5375,0.071446806,7452550.0
Rbp4_tdTnegative_cell_13,4237,0.025544448,1585258.2
Rbp4_tdTnegative_cell_14,5876,0.08423495,2664866.5
Rbp4_tdTnegative_cell_15,6052,0.06880746,4550806.5
Rbp4_tdTnegative_cell_16,5910,0.060608946,4862730.5
Rbp4_tdTnegative_cell_17,4819,0.04485182,1917672.6
Rbp4_tdTnegative_cell_18,4005,0.09801996,2648604.8
Rbp4_tdTnegative_cell_19,4806,0.0719465,2551908.5
Rbp4_tdTnegative_cell_20,5701,0.03801886,6874380.0
Rbp4_tdTnegative_cell_21,5389,0.07263127,9228963.0
Rbp4_tdTnegative_cell_22,4181,0.08037117,3190800.0
Rbp4_tdTnegative_cell_23,4863,0.06167812,4050229.2
Rorb_tdTpositive_cell_1,7131,0.021745853,5401633.0
Rorb_tdTpositive_cell_2,7904,0.023442026,10434742.0
Rorb_tdTpositive_cell_3,7630,0.023498872,8076406.0
Rorb_tdTpositive_cell_4,8651,0.027328718,6570110.0
Rorb_tdTpositive_cell_5,7595,0.018041085,9318403.0
Rorb_tdTpositive_cell_6,8062,0.025113704,6028431.0
Rorb_tdTpositive_cell_7,8311,0.028322328,4916828.0
Rorb_tdTpositive_cell_8,7857,0.023244005,4672939.0
Rorb_tdTpositive_cell_9,8012,0.02223183,4262336.5
Rorb_tdTpositive_cell_10,8766,0.030424446,3565011.0
Rorb_tdTpositive_cell_11,5958,0.017808642,2315762.5
Rorb_tdTpositive_cell_12,6369,0.018027775,1377717.5
Rorb_tdTpositive_cell_13,6792,0.022366818,2637808.0
Rorb_tdTpositive_cell_14,6582,0.020407308,2220628.5
Rorb_tdTpositive_cell_15,6964,0.015176395,3127438.8
Rorb_tdTpositive_cell_16,7225,0.020687276,7728881.0
